date,pce,pop,psavert,uempmed,unemploy
01/07/1967,506.7,198712,12.6,4.5,2944
01/08/1967,509.8,198911,12.6,4.7,2945
01/09/1967,515.6,199113,11.9,4.6,2958
01/10/1967,512.2,199311,12.9,4.9,3143
01/11/1967,517.4,199498,12.8,4.7,3066
01/12/1967,525.1,199657,11.8,4.8,3018
01/01/1968,530.9,199808,11.7,5.1,2878
01/02/1968,533.6,199920,12.3,4.5,3001
01/03/1968,544.3,200056,11.7,4.1,2877
01/04/1968,544,200208,12.3,4.6,2709
01/05/1968,549.8,200361,12,4.4,2740
01/06/1968,556.3,200536,11.7,4.4,2938
01/07/1968,563.2,200706,10.7,4.5,2883
01/08/1968,567,200898,10.5,4.2,2768
01/09/1968,568.2,201095,10.6,4.6,2686
01/10/1968,571.6,201290,10.8,4.8,2689
01/11/1968,576.7,201466,10.6,4.4,2715
01/12/1968,576.5,201621,11.1,4.4,2685
01/01/1969,583.5,201760,10.3,4.4,2718
01/02/1969,588.7,201881,9.7,4.9,2692
01/03/1969,588.9,202023,10.2,4,2712
01/04/1969,593.9,202161,9.7,4,2758
01/05/1969,600.3,202331,10.1,4.2,2713
01/06/1969,600.9,202507,11.1,4.4,2816
01/07/1969,602.7,202677,11.8,4.4,2868
01/08/1969,609.9,202877,11.5,4.4,2856
01/09/1969,613.2,203090,11.6,4.7,3040
01/10/1969,618.5,203302,11.4,4.5,3049
01/11/1969,620.5,203500,11.6,4.8,2856
01/12/1969,622.8,203675,11.8,4.6,2884
01/01/1970,628.7,203849,11.8,4.6,3201
01/02/1970,634,204008,11.7,4.5,3453
01/03/1970,632.3,204156,12.4,4.6,3635
01/04/1970,636,204401,13.3,4.1,3797
01/05/1970,642.4,204607,12.4,4.7,3919
01/06/1970,646.3,204830,12.3,4.9,4071
01/07/1970,648.5,205052,13.5,5.1,4175
01/08/1970,652.9,205295,13.4,5.4,4256
01/09/1970,659.1,205540,12.9,5.2,4456
01/10/1970,658.3,205788,13.1,5.2,4591
01/11/1970,656.6,206024,13.6,5.6,4898
01/12/1970,665.6,206238,13.2,5.9,5076
01/01/1971,676.1,206466,13.3,6.2,4986
01/02/1971,679.4,206668,13.3,6.3,4903
01/03/1971,682,206855,13.5,6.4,4987
01/04/1971,688.8,207065,13.2,6.5,4959
01/05/1971,691.1,207260,13.6,6.7,4996
01/06/1971,699.8,207462,14.7,5.7,4949
01/07/1971,698.9,207661,13.8,6.2,5035
01/08/1971,704.9,207881,13.6,6.4,5134
01/09/1971,713,208114,13.3,5.8,5042
01/10/1971,715.8,208345,13.3,6.5,4954
01/11/1971,720.9,208555,13.1,6.4,5161
01/12/1971,728.4,208740,13,6.2,5154
01/01/1972,731.5,208917,12.5,6.2,5019
01/02/1972,736.2,209061,12.8,6.6,4928
01/03/1972,749.2,209212,11.8,6.6,5038
01/04/1972,752.5,209386,11.5,6.7,4959
01/05/1972,758,209545,11.7,6.6,4922
01/06/1972,761.6,209725,11.7,5.4,4923
01/07/1972,769.9,209896,11.7,6.1,4913
01/08/1972,776.3,210075,12,6,4939
01/09/1972,781.1,210278,12.2,5.6,4849
01/10/1972,794.9,210479,13,5.7,4875
01/11/1972,800.5,210656,13.6,5.7,4602
01/12/1972,806.1,210821,13.7,6.1,4543
01/01/1973,816.5,210985,12.4,5.7,4326
01/02/1973,825.8,211120,12.5,5.2,4452
01/03/1973,832.8,211254,12.7,5.5,4394
01/04/1973,835.7,211420,13.2,5,4459
01/05/1973,841.6,211577,13.2,4.9,4329
01/06/1973,844.3,211746,13.6,5,4363
01/07/1973,854.1,211909,13.2,5.2,4305
01/08/1973,853.3,212092,13.9,4.9,4305
01/09/1973,869.2,212289,13.1,5.4,4350
01/10/1973,868.2,212475,14.4,5.5,4144
01/11/1973,876.9,212634,14.4,5.1,4396
01/12/1973,876.6,212785,14.8,4.7,4489
01/01/1974,884.5,212932,14.3,5,4644
01/02/1974,889.7,213074,14.2,5.1,4731
01/03/1974,901.4,213211,13.4,4.8,4634
01/04/1974,910.8,213361,13.1,5,4618
01/05/1974,922.4,213513,12.8,4.6,4705
01/06/1974,928,213686,12.8,5.3,4927
01/07/1974,937.9,213854,12.8,5.7,5063
01/08/1974,954.8,214042,12.1,5,5022
01/09/1974,955.1,214246,12.9,5.3,5437
01/10/1974,959.2,214451,13.4,5.5,5523
01/11/1974,956.2,214625,13.8,5.2,6140
01/12/1974,961.8,214782,14,5.7,6636
01/01/1975,975.6,214931,13.2,6.3,7501
01/02/1975,989.4,215065,12.5,7.1,7520
01/03/1975,990.6,215198,12.7,7.2,7978
01/04/1975,995,215353,14.2,8.7,8210
01/05/1975,1018.9,215523,17.3,9.4,8433
01/06/1975,1026.8,215768,14.3,8.8,8220
01/07/1975,1039.8,215973,12.6,8.6,8127
01/08/1975,1047,216195,13,9.2,7928
01/09/1975,1054.8,216393,13,9.2,7923
01/10/1975,1060.9,216587,13.4,8.6,7897
01/11/1975,1075.8,216771,12.7,9.5,7794
01/12/1975,1092.1,216931,12,9,7744
01/01/1976,1107.1,217095,11.7,9,7534
01/02/1976,1107.7,217249,12.3,8.2,7326
01/03/1976,1114.9,217381,12.2,8.7,7230
01/04/1976,1125.4,217528,11.7,8.2,7330
01/05/1976,1122.7,217685,12.3,8.3,7053
01/06/1976,1140.5,217861,11.4,7.8,7322
01/07/1976,1149.6,218035,11.7,7.7,7490
01/08/1976,1158,218233,11.7,7.9,7518
01/09/1976,1168.8,218440,11.4,7.8,7380
01/10/1976,1176.8,218644,11.1,7.7,7430
01/11/1976,1189,218834,11.4,8.4,7620
01/12/1976,1211.5,219006,10.6,8,7545
01/01/1977,1215,219179,10.6,7.5,7280
01/02/1977,1231.3,219344,9.3,7.2,7443
01/03/1977,1238.3,219504,10.5,7.2,7307
01/04/1977,1247.3,219684,10.5,7.3,7059
01/05/1977,1257.1,219859,10.3,7.9,6911
01/06/1977,1263.6,220046,10.6,6.2,7134
01/07/1977,1280.5,220239,10.5,7.1,6829
01/08/1977,1285.7,220458,10.9,7,6925
01/09/1977,1294.5,220688,11.1,6.7,6751
01/10/1977,1311.4,220904,11,6.9,6763
01/11/1977,1327,221109,11.2,7,6815
01/12/1977,1336,221303,11.4,6.8,6386
01/01/1978,1329.5,221477,11.9,6.5,6489
01/02/1978,1355.1,221629,11.1,6.7,6318
01/03/1978,1377.5,221792,11,6.2,6337
01/04/1978,1396.4,221991,10.8,6.1,6180
